LGD_Code_x,DistrictName,StateName,Population,MORTH_City_Name,AvgAQI_2020,very_dense_forest,mod_dense_forest,open_forest,total_forest_cover,scrub,LGD_Code_y,DistrictVehicles_2020,VehiclesPerCapita,ForestPerCapita_sqkm
746,Kakinada,Andhra Pradesh,,,,0.02,184.33,359.78,544.13,113.0,746,0,,
746,Kakinada,Andhra Pradesh,,,,552.32,1840.81,999.29,3392.42,170.0,746,0,,
358,Kalahandi,Odisha,1576869.0,,,,,,,,358,0,0.0,
729,Kallakurichi,Tamil Nadu,,,,,,,,,729,0,,
685,Kamareddy,Telangana,,,,,,,,,685,0,,
618,Kamrup Metro,Assam,,,,,,,,,618,0,,
557,Kannur,Kerala,2523003.0,Kannur,53.522184300341294,,,,,,557,332430,0.13175965308007956,
157,Kanpur Nagar,Uttar Pradesh,4581268.0,Kanpur,,,,,,,157,1582264,0.34537686946059476,
35,Kapurthala,Punjab,815168.0,,,,,,,,35,0,0.0,
6,Kargil,Ladakh,,,,,,,,,6,0,,
576,Karur,Tamil Nadu,1064493.0,,,,,,,,576,0,0.0,
7,Kathua,Jammu And Kashmir,,,,,,,,,7,0,,
770,Khairthal-Tijara,Rajasthan,,,,,,,,,770,0,,
405,Khandwa (East Nimar),Madhya Pradesh,1310061.0,,,,,,,,405,0,0.0,
542,Kolar,Karnataka,1536401.0,,,0.0,57.63,339.55,397.18,66.88,542,0,0.0,0.0002585132397076024
542,Kolar,Karnataka,1536401.0,,,0.0,59.67,399.84,459.51,76.39,542,0,0.0,0.0002990820755779253
699,Kumuram Bheem Asifabad,Telangana,,,,,,,,,699,0,,
264,Lawngtlai,Mizoram,117894.0,,,,,,,,264,3871,0.03283458021612635,
336,Lohardaga,Jharkhand,461790.0,,,170.65,219.34,113.18,503.17,5.44,336,0,0.0,0.0010896078303990991
336,Lohardaga,Jharkhand,461790.0,,,225.99,345.49,147.3,718.78,4.78,336,0,0.0,0.0015565083696052317
235,Lower Dibang Valley,Arunachal Pradesh,54080.0,,,,,,,,235,0,0.0,
719,Lower Siang,Arunachal Pradesh,,,,,,,,,719,0,,
165,Mahoba,Uttar Pradesh,875958.0,,,,,,,,165,0,0.0,
415,Mandla,Madhya Pradesh,1054905.0,,,,,,,,415,0,0.0,
735,Mayiladuthurai,Tamil Nadu,,,,,,,,,735,0,,
513,Medak,Telangana,,,,,,,,,513,0,,
170,Mirzapur,Uttar Pradesh,2496970.0,,,,,,,,170,0,0.0,
246,Mokokchung,Nagaland,194622.0,,,,,,,,246,17956,0.0922608954794422,
171,Moradabad,Uttar Pradesh,4772006.0,,207.8,,,,,,171,0,0.0,
673,Morbi,Gujarat,,,,0.0,3.44,142.99,146.43,25.09,673,0,,
482,Mumbai,Maharashtra,3085411.0,Greater Mumbai,94.68306010928961,,,,,,482,3876165,1.256288060164432,
483,Mumbai Suburban,Maharashtra,9356962.0,,,,,,,,483,0,0.0,
694,Nagarkurnool,Telangana,,,,,,,,,694,0,,
209,Nalanda,Bihar,2877653.0,,,0.0,10.37,34.44,44.81,5.59,209,3268,0.0011356476962302265,1.5571717646290223e-05
514,Nalgonda,Telangana,,,,,,,,,514,0,,
210,Nawada,Bihar,2219146.0,,,0.0,199.53,306.77,506.3,21.47,210,2520,0.001135571972281229,0.00022815082919285166
80,North,Delhi,,,,,,,,,80,0,,
82,North West,Delhi,,,,,,,,,82,0,,
237,Papum Pare,Arunachal Pradesh,176573.0,,,,,,,,237,0,0.0,
564,Pathanamthitta,Kerala,1197412.0,,,104.97,635.14,616.37,1356.48,0.15,564,0,0.0,0.0011328431650927165
456,Porbandar,Gujarat,585449.0,,,0.0,21.56,122.29,143.85,38.74,456,0,0.0,0.0002457088491055583
120,Prayagraj,Uttar Pradesh,,Prayagraj,,,,,,,120,1506277,,
175,Rae Bareli,Uttar Pradesh,3405559.0,,,,,,,,175,0,0.0,
546,Raichur,Karnataka,1928812.0,,129.92307692307693,0.0,1.08,47.3,48.38,189.06,546,0,0.0,2.5082797079238413e-05
546,Raichur,Karnataka,1928812.0,,129.92307692307693,0.0,1.14,47.93,49.07,196.81,546,0,0.0,2.544053023311759e-05
683,Rajanna Sircilla,Telangana,,,,,,,,,683,0,,
621,Ramban,Jammu And Kashmir,,,,,,,,,621,0,,
423,Ratlam,Madhya Pradesh,1455069.0,,105.32450331125828,,,,,,423,0,0.0,
72,Rewari,Haryana,900332.0,,,0.0,11.9,49.55,61.45,9.11,72,0,0.0,6.825260015194395e-05
276,Ri Bhoi,Meghalaya,,,,,,,,,276,0,,
73,Rohtak,Haryana,1061204.0,,138.64406779661016,0.0,1.36,13.18,14.54,1.02,73,0,0.0,1.3701418388924278e-05
624,Samba,Jammu And Kashmir,,,,,,,,,624,0,,
371,Sambalpur,Odisha,1041099.0,,,,,,,,371,0,0.0,
493,Sangli,Maharashtra,2822143.0,,,,,,,,493,0,0.0,
427,Sehore,Madhya Pradesh,1311332.0,,,,,,,,427,0,0.0,
257,Senapati,Manipur,479148.0,,,,,,,,257,2737,0.005712222528321103,
780,Shahpura,Rajasthan,,,,,,,,,780,0,,
219,Sheikhpura,Bihar,636342.0,,,0.0,0.64,0.18,0.82,0.0,219,722,0.001134610005311609,1.2886152414896392e-06
679,Siang,Arunachal Pradesh,,,,,,,,,679,0,,
692,Siddipet,Telangana,,,,,,,,,692,0,,
24,Sirmaur,Himachal Pradesh,529855.0,,,,,,,,24,0,0.0,
300,Sivasagar,Assam,1151050.0,,,0.0,61.65,276.55,338.2,4.22,300,27493,0.02388514834281743,0.0002938186872855219
301,Sonitpur,Assam,1924110.0,,,83.7,201.21,435.19,720.1,9.77,301,45958,0.023885328801367907,0.000374250952388377
271,South Tripura,Tripura,876001.0,,,,,,,,271,15123,0.017263678922740954,
185,Sultanpur,Uttar Pradesh,3797117.0,,,,,,,,185,0,0.0,
373,Sundargarh,Odisha,2093437.0,,,,,,,,373,0,0.0,
459,Surat,Gujarat,6081322.0,Surat,,4.62,277.32,213.92,495.86,13.07,459,3562258,0.585770330858981,8.15381918602567e-05
460,Surendranagar,Gujarat,1756268.0,,,0.0,10.58,134.75,145.33,36.6,460,0,0.0,8.274932982893272e-05
594,Thoothukkudi,Tamil Nadu,1750176.0,,,,,,,,594,0,0.0,
566,Thrissur,Kerala,3121200.0,Thrissur,77.8076923076923,244.63,469.92,575.48,1290.03,0.0,566,0,0.0,0.0004133121876201461
752,Tirupati,Andhra Pradesh,,,55.45530726256983,6.38,888.26,1209.39,2104.03,509.69,752,0,,
